Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
Impresia,['Kafe'],['Kopi'],['Barat'],150000,3.8,6,"Jl. Kolonel Sugiono No. 28, Duren sawit, Jakarta 13440",Duren Sawit,Jakarta Timur,DKI Jakarta,"['Ruang Sholat', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Neo Sinar Pagi,['Quick Bites'],['Kopi'],['Padang'],65000,3.0,11,"Kalibata City Square, Tower B, Jl. Kalibata Raya No. 1, Kalibata, Jakarta",Pancoran,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Mie Karet Keriting,['Quick Bites'],['Bakmi'],['Indonesia'],50000,3.0,4,"Jl. Raya Ragunan No.10, Pasar Minggu, Jakarta",Pasar Minggu,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
AGTL Ny. Nani S.,['Quick Bites'],['Kopi'],['Jawa'],80000,3.4,19,"Jl. H. Ten No. 6A, Pulomas, Pulo Gadung, Jakarta",Pulogadung,Jakarta Timur,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Bakmie Yeye,['Quick Bites'],['Bakmi'],"['Indonesia', 'Chinese']",80000,3.7,21,"Ruko Kemang Pratama 1, Jl. Kemang Pratama, Rawalumbu, Bekasi",Rawalumbu,Bekasi Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
"Mie Ayam Cabe Uleg ""Geluk""",['Kaki Lima'],"['Ayam', 'Bakmi']",['Indonesia'],70000,3.6,4,"Jl. Cempaka Putih Raya No. 36-38, Cempaka Putih, Jakarta",Cempaka Putih,Jakarta Pusat,DKI Jakarta,"['Tempat duduk di luar', 'Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Prekthai,['Quick Bites'],['Kopi'],"['Thai', 'Indonesia']",50000,3.1,20,"Jl. Achmad Adnawijaya No. 141, Bogor Utara, Bogor",Bogor Utara,Bogor Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Patron,['Casual Dining'],['Kopi'],"['Asia', 'Barat']",200000,3.2,18,"IDX, Tower 2, Lantai Ground, Jl. Jenderal Sudirman, SCBD, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Mega Pelangi Bakmi,['Quick Bites'],['Bakmi'],['Indonesia'],100000,3.7,7,"Jl. Malaka Baru No. 4A, Bekasi Barat, Bekasi",Bekasi Barat,Bekasi Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Pesan Antar']"
Monster Seafood,['Casual Dining'],['Seafood'],['Asia'],250000,3.4,41,"Ancol Beach City, Lantai Lower Ground, Jl. Pantai Timur, Ancol, Jakarta",Pademangan,Jakarta Utara,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia']"
Pempek Kenari,['Food Court'],['Pempek'],['Palembang'],60000,3.4,22,"Supermal Karawaci, Lantai 1, Makansutra, Jl. Boulevard Diponegoro No. 105, Cibodas, Tangerang",Kelapa Dua,Tangerang Kabupaten,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Boloo Boloo,['Quick Bites'],['Makanan Cepat Saji'],['Jepang'],120000,2.9,27,"Jl. Jeruk No. 10, Jagakarsa, Jakarta",Jagakarsa,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia', 'Pesan Antar']"
Restoran Kalimantan,['Quick Bites'],['Kopi'],['Kalimantan'],80000,3.3,8,"Jl. Raya Taman Wisma Asri, Bekasi Utara, Bekasi",Bekasi Utara,Bekasi Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Pempek Palembang Oky,['Quick Bites'],['Pempek'],['Palembang'],90000,4.0,57,"Jl. Nusantara Raya No. 46, Beji, Depok",Beji,Depok,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Sunda Kelapa - Mercure Convention Center Ancol,['Casual Dining'],['Kopi'],"['Barat', 'Itali', 'Arab', 'Chinese', 'Sunda']",400000,3.5,27,"Mercure Convention Center Ancol, Taman Impian Jaya Ancol, Jl. Pantai Indah, Ancol, Jakarta",Pademangan,Jakarta Utara,DKI Jakarta,"['Ramah untuk Anak', 'Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Buffet']"
