Website,Delivery Service
https://www.zomato.com/id/jakarta/thien-thien-lai-1-kota,Yes
https://www.zomato.com/id/jakarta/kawisari-cafe-eatery-menteng,Yes
https://www.zomato.com/id/jakarta/pondok-laguna-pecenongan,Yes
https://www.zomato.com/id/jakarta/iceberg-gelato-pizza-cikini,Yes
https://www.zomato.com/id/jakarta/yakiniku-like-1-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/anns-bakehouse-melawai,Yes
https://www.zomato.com/id/jakarta/benihana-japanese-steakhouse-thamrin,Yes
https://www.zomato.com/id/jakarta/queens-tandoor-thamrin,Yes
https://www.zomato.com/id/jakarta/pantjoran-tea-house-kota,Yes
https://www.zomato.com/id/jakarta/burger-king-klender,Yes
https://www.zomato.com/id/jakarta/march%C3%A9-movenpick-puri-indah,Yes
https://www.zomato.com/id/jakarta/huk-garden-family-resto-jatiasih,Yes
https://www.zomato.com/id/jakarta/lemondiscofish-kemang,Yes
https://www.zomato.com/id/jakarta/eighteen-pies-pantai-indah-kapuk,Yes
https://www.zomato.com/id/jakarta/mifun%C3%A9-1-senopati,Yes
https://www.zomato.com/id/jakarta/pecel-lele-kemangi-sukmajaya-depok,Yes
https://www.zomato.com/id/jakarta/canteen-malaxiangquo-pantai-indah-kapuk,Yes
https://www.zomato.com/id/jakarta/bansan-pondok-aren-tangerang,Yes
https://www.zomato.com/id/jakarta/walking-drums-blok-m,Yes
https://www.zomato.com/id/jakarta/shao-kao-2-pondok-indah,Yes
https://www.zomato.com/id/jakarta/kiila-kiila-cafe-kemang,Yes
https://www.zomato.com/id/jakarta/chroma-coffee-eatery-kedoya,Yes
https://www.zomato.com/id/jakarta/tregioia-creamery-1-pinang-tangerang,Yes
https://www.zomato.com/id/jakarta/nu-china-kemang,Yes
https://www.zomato.com/id/jakarta/ban-ban-cheese-tea-thamrin,Yes
https://www.zomato.com/id/jakarta/canabeans-pondok-aren-tangerang,Yes
https://www.zomato.com/id/jakarta/hello-sunday-1-cikini,Yes
https://www.zomato.com/id/jakarta/negiya-express-sudirman,Yes
https://www.zomato.com/id/jakarta/haritts-donuts-coffee-thamrin,Yes
https://www.zomato.com/id/jakarta/bakso-jwr-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/wa-chu-want-senopati,Yes
https://www.zomato.com/id/jakarta/dominos-pizza-kampung-melayu,Yes
https://www.zomato.com/id/jakarta/kopi-dalam-negeri-kemang,Yes
https://www.zomato.com/id/jakarta/j-co-donuts-coffee-fatmawati,Yes
https://www.zomato.com/id/jakarta/soy-day-cengkareng,Yes
https://www.zomato.com/id/jakarta/wingstop-tebet,Yes
https://www.zomato.com/id/jakarta/lumi%C3%A9re-bintaro,Yes
https://www.zomato.com/id/jakarta/sushi-corner-1-cengkareng,Yes
https://www.zomato.com/id/jakarta/chakra-hall-lounge-serpong-tangerang,Yes
https://www.zomato.com/id/jakarta/abura-soba-yamatoten-thamrin,Yes
https://www.zomato.com/id/jakarta/noodle-king-scbd,Yes
https://www.zomato.com/id/jakarta/restaurant-baku-sayang-meruya,Yes
https://www.zomato.com/id/jakarta/grand-cafe-grand-hyatt-1-thamrin,Yes
https://www.zomato.com/id/jakarta/gerobak-betawi-green-ville,Yes
https://www.zomato.com/id/jakarta/warung-nako-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/nasi-tim-pejagalan-penjaringan,Yes
