Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Saung Prasmanan Palay Sindang,Food Court,['Sunda'],Kemayoran,Not Rated Yet,TIdak cukup Ulasan,-6.1646212865,106.877361685,"https://www.zomato.com/id/jakarta/saung-prasmanan-palay-sindang-kemayoran
","ITC Cempaka Mas, Lantai 5, Food Court, Jl. Letjen Suprapto, Cempaka Putih, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Sate Nikmat Khas Tegal,Food Court,['Satay'],Kemang,Not Rated Yet,TIdak cukup Ulasan,-6.2776668718,106.827608048,"https://www.zomato.com/id/jakarta/sate-nikmat-khas-tegal-kemang
","The Green Corner, Jl. Pejaten Barat No. 71, Kemang, Jakarta",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Cake & Pastry,Toko Kue & Roti,['Kue & Roti'],Cakung,Not Rated Yet,TIdak cukup Ulasan,-6.1721613244,106.951755434,"https://www.zomato.com/id/jakarta/cake-pastry-cakung
","AEON Mall, Lantai Ground, Jl. Jakarta Garden City, Cakung, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Di dalam ruangan', 'Desserts and Bakes']"
Kopi Kenangan,Toko Minuman,"['Minuman', 'Kopi']",Cimanggis,Not Rated Yet,Not Reviewed Yet,-6.3710970000,106.860841000,"https://www.zomato.com/id/jakarta/kopi-kenangan-2-cimanggis-depok
","Giant Cimanggis, Jl. Raya Bogor No.KM. 31, Cimanggis, Depok",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Mee_Oowfè,Quick Bites,"['Indonesia', 'Kopi']",Bogor Utara,Not Rated Yet,TIdak cukup Ulasan,-6.5820490000,106.814839000,"https://www.zomato.com/id/jakarta/mee-oowfè-2-bogor-utara-bogor
","Ruko 2C, Jl. Achmad Sobana No. 28, Bogor Utara, Bogor",No Price Data Found,"['', '', '', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok', 'No Additional Info']"
Turn On Coffee & Eatery,Quick Bites,"['Indonesia', 'Barat', 'Kopi']",Kebon Jeruk,Not Rated Yet,TIdak cukup Ulasan,-6.1972550000,106.764359000,"https://www.zomato.com/id/jakarta/turn-on-coffee-eatery-kebon-jeruk
","Harvia Suites Building, Jl. Raya Perjuangan No. 63, Kebon Jeruk, Jakarta, Kebon Jeruk, Jakarta",No Price Data Found,"['Bawa Pulang Tersedia', 'Hanya Bir', 'Tempat duduk di luar', 'Di dalam ruangan', 'Wifi Tersedia', 'Area Merokok', 'Bawa Pulang Tersedia', 'Hanya Bir', 'Tempat duduk di luar', 'Di dalam ruangan', 'Wifi Tersedia', 'Area Merokok', 'No Additional Info']"
One More Shot Coffee House,Toko Minuman,['Kopi'],Pantai Indah Kapuk,Not Rated Yet,Not Reviewed Yet,-6.1028360000,106.741529000,"https://www.zomato.com/id/jakarta/one-more-shot-coffee-house-pantai-indah-kapuk
","Fresh Market, Jl. Pantai Indah Kapuk Boulevard No. 29 - 30, Pantai Indah Kapuk, Jakarta",No Price Data Found,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Area Merokok', 'Desserts and Bakes', 'Di dalam ruangan', 'Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Area Merokok', 'Desserts and Bakes', 'Di dalam ruangan', 'No Additional Info']"
Soto Ayam Barokah H. Iwan,Quick Bites,"['Soto', 'Indonesia']",Beji,Not Rated Yet,TIdak cukup Ulasan,-6.3721337533,106.832838691,"https://www.zomato.com/id/jakarta/soto-ayam-barokah-h-iwan-beji-depok
","Jl. Margonda Raya No. 367, Beji, Depok",No Price Data Found,"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'No Additional Info']"
Soto Betawi Bang Udy,Food Court,['Indonesia'],Melawai,Not Rated Yet,TIdak cukup Ulasan,-6.2450384735,106.802630983,"https://www.zomato.com/id/jakarta/soto-betawi-bang-udy-melawai
","Pasaraya Grande, Lantai Lower Ground, Dapuraya, Jl. Iskandarsyah II, Melawai, Jakarta",No Price Data Found,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'No Additional Info']"
Es Kelapa,Food Court,"['Dessert Parlor', 'Minuman', 'Desserts']",Kuningan,Not Rated Yet,TIdak cukup Ulasan,-6.2284205442,106.833951138,"https://www.zomato.com/id/jakarta/es-kelapa-kuningan
","RPI Food Court, Jl. Mesjid Darul Muqorrobin Blok A No. 33A, Kuningan, Jakarta",No Price Data Found,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'No Additional Info']"
